Portugal	:	:	:	:	:	:	:	:	:	:	0,00	547,60	1212,30	1119,30	1119,30	1119,30	1119,30	
Finland	:	:	:	:	:	:	:	:	:	:	0,00	392,00	1316,10	3707,70	4432,50	4617,30	4406,90	
Belgium	:	:	:	:	:	:	:	:	:	:	129,60	830,30	2585,60	7198,00	8599,80	8956,40	8547,00	
Germany (until 1990 former territory of the FRG)	:	:	:	:	:	:	:	:	:	:	648,00	5924,80	19879,50	55989,00	66935,20	69726,50	66698,40	
Ireland	:	:	:	:	:	:	:	:	:	:	0,00	347,40	347,40	347,40	347,40	347,40	347,40	
Greece	:	:	:	:	:	:	:	:	:	:	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
Spain	:	:	:	:	:	:	:	:	:	:	0,00	2597,60	8717,00	24541,70	29350,70	30574,70	29181,10	
France	:	:	:	:	:	:	:	:	:	:	0,00	4449,00	14928,80	42029,80	50266,20	52362,40	49975,80	
Italy	:	:	:	:	:	:	:	:	:	:	0,00	3909,10	13117,80	36932,30	44155,90	45997,80	43900,60	
Luxembourg	:	:	:	:	:	:	:	:	:	:	0,00	54,60	183,30	516,50	617,40	643,20	613,90	
Netherlands	:	:	:	:	:	:	:	:	:	:	0,00	1247,00	4186,70	11791,00	14096,40	14684,20	14014,90	
Austria	:	:	:	:	:	:	:	:	:	:	0,00	607,40	2038,20	5740,70	6863,10	7149,30	8053,40	
Portugal	:	:	:	:	:	:	:	:	:	:	0,00	547,60	1212,30	1119,30	1119,30	1119,30	1119,30	
Finland	:	:	:	:	:	:	:	:	:	:	0,00	392,00	1316,10	3707,70	4432,50	4617,30	4406,90	
Belgium	:	:	:	:	:	:	:	:	:	:	129,60	830,30	2585,60	7198,00	8599,80	8956,40	8547,00	
Germany (until 1990 former territory of the FRG)	:	:	:	:	:	:	:	:	:	:	784,00	6048,90	19993,80	56090,90	67024,10	69802,20	66761,30	
Ireland	:	:	:	:	:	:	:	:	:	:	0,00	347,40	347,40	347,40	347,40	347,40	347,40	
Greece	:	:	:	:	:	:	:	:	:	:	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
Spain	:	:	:	:	:	:	:	:	:	:	0,00	2597,60	8717,00	24541,70	29350,70	30574,70	29181,10	
France	:	:	:	:	:	:	:	:	:	:	0,00	4449,00	14928,80	42029,80	50266,20	52362,40	49975,80	
Italy	:	:	:	:	:	:	:	:	:	:	0,00	3909,10	13117,80	36932,30	44155,90	45997,80	43900,60	
Luxembourg	:	:	:	:	:	:	:	:	:	:	0,00	54,60	183,30	516,50	617,40	643,20	613,90	
Netherlands	:	:	:	:	:	:	:	:	:	:	0,00	1247,00	4186,70	11791,00	14096,40	14684,20	14014,90	
Austria	:	:	:	:	:	:	:	:	:	:	0,00	607,40	2038,20	5740,70	6863,10	7149,30	8053,40	
Portugal	:	:	:	:	:	:	:	:	:	:	0,00	547,60	1212,30	1119,30	1119,30	1119,30	1119,30	
Finland	:	:	:	:	:	:	:	:	:	:	0,00	392,00	1316,10	3707,70	4432,50	4617,30	4406,90	
Belgium	:	:	:	:	:	:	:	:	:	:	129,60	830,30	2585,60	7198,00	8599,80	8956,40	8547,00	
Germany (until 1990 former territory of the FRG)	:	:	:	:	:	:	:	:	:	:	784,00	6048,90	19993,80	56090,90	67024,40	69803,80	66764,10	
Ireland	:	:	:	:	:	:	:	:	:	:	0,00	347,40	347,40	347,40	347,40	347,40	347,40	
Greece	:	:	:	:	:	:	:	:	:	:	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
Spain	:	:	:	:	:	:	:	:	:	:	0,00	2597,60	8717,00	24541,70	29350,70	30574,70	29181,10	
France	:	:	:	:	:	:	:	:	:	:	0,00	4449,00	14928,80	42029,80	50266,20	52362,40	49975,80	
Italy	:	:	:	:	:	:	:	:	:	:	0,00	3909,10	13117,80	36932,30	44155,90	45997,80	43900,60	
Luxembourg	:	:	:	:	:	:	:	:	:	:	0,00	54,60	183,30	516,50	617,40	643,20	613,90	
Netherlands	:	:	:	:	:	:	:	:	:	:	0,00	1247,00	4186,70	11791,00	14096,40	14684,20	14014,90	
Austria	:	:	:	:	:	:	:	:	:	:	0,00	607,40	2038,20	5740,70	6863,10	7149,30	8053,40	
Portugal	:	:	:	:	:	:	:	:	:	:	0,00	547,60	1212,30	1119,30	1119,30	1119,30	1119,30	
Finland	:	:	:	:	:	:	:	:	:	:	0,00	392,00	1316,10	3707,70	4432,50	4617,30	4406,90	
Belgium	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Germany (until 1990 former territory of the FRG)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Ireland	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Greece	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Spain	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
France	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Italy	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Luxembourg	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Netherlands	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Austria	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Portugal	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Finland	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Belgium	598,00	597,20	479,70	549,30	686,80	784,50	893,70	1009,00	1115,70	1176,40	1279,30	1393,00	1476,50	1447,30	1394,90	1348,40	1379,90	
Germany (until 1990 former territory of the FRG)	8968,10	8982,00	7193,00	4167,90	5003,00	5492,70	5924,50	6422,40	6934,50	10524,90	11100,00	12168,60	10430,20	9743,00	10593,30	12150,50	14304,20	
Ireland	8118,60	8058,40	7816,60	7735,50	7904,80	8075,40	8320,20	8072,80	7675,70	8843,50	10307,10	13708,40	58386,50	62092,40	31356,00	20917,90	20704,20	
Greece	561,20	497,00	603,00	1260,00	1149,00	1315,00	1378,00	1085,00	751,00	844,00	1663,00	1203,00	1106,00	1055,00	1088,00	6374,00	5555,00	
Spain	2643,00	2595,00	2522,00	2134,00	2307,00	2543,00	2798,00	3064,00	3307,00	3420,00	3468,00	3584,00	3685,00	3681,00	3696,00	3847,00	4056,00	
France	45977,00	37872,00	32175,00	24002,00	17953,00	16632,00	17091,00	22190,00	24552,00	29391,00	27016,00	29060,00	37029,00	42033,00	40940,00	40088,00	39244,00	
Italy	110505,10	115774,30	138853,70	150205,80	112321,40	128808,90	149558,30	157026,30	143046,60	147284,30	155785,70	156875,80	153255,50	160257,00	158480,50	173215,20	178270,50	
Luxembourg	24,40	24,40	18,00	57,80	81,80	104,30	124,10	142,90	161,30	176,90	193,90	207,20	221,00	236,60	248,80	260,10	271,60	
Netherlands	1478,00	1507,00	1542,00	911,00	943,00	978,00	2402,00	1902,00	1883,00	1636,00	1071,00	963,00	1675,00	1168,00	1254,00	1126,00	2043,00	
Austria	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	8453,00	6474,00	5837,30	3320,00	1987,00	2997,00	3973,00	
Portugal	8395,80	9338,70	10096,40	10902,60	11186,30	10916,50	11177,30	12968,10	13546,20	12363,70	11879,40	11702,50	10143,00	9388,10	10490,60	14922,80	18646,20	
Finland	240,70	251,90	210,00	236,00	264,00	298,00	354,00	387,00	417,00	444,00	704,00	661,00	767,00	555,00	614,00	752,00	831,00	
Belgium	241981,70	244382,10	249314,00	250256,10	244064,40	246783,80	249911,30	250958,50	253416,60	279147,10	295408,10	307582,70	325099,30	335754,60	341043,30	344542,80	353110,60	
Germany (until 1990 former territory of the FRG)	732588,00	761381,30	783705,70	849899,30	921737,20	990930,80	1060807,50	1113989,40	1144780,40	1185836,20	1303060,50	1396193,20	1462254,70	1548349,70	1556533,20	1574097,70	1566172,80	
Ireland	31180,20	27695,90	29747,60	31544,10	33994,20	34236,40	34085,20	33603,40	37386,30	67968,50	91518,20	96380,90	94012,80	87296,80	112665,00	119078,00	125565,10	
Greece	103535,70	109068,70	115137,00	125282,00	136866,00	155706,00	172451,00	184156,00	201108,00	225449,00	262773,00	262555,00	251676,00	93443,00	79205,00	70059,00	61631,00	
Spain	302662,00	314607,00	318532,00	323779,00	321441,00	320460,00	323784,00	321797,00	313619,00	356381,00	472678,00	534226,00	610699,00	669887,00	765746,00	825151,00	873570,00	
France	628987,00	660946,00	701041,00	766399,00	850737,00	921762,00	983522,00	978871,00	1019817,00	1119916,00	1276634,00	1359653,00	1483133,00	1558412,00	1630021,00	1705040,00	1760738,00	
Italy	1091504,00	1111070,10	1144148,10	1147415,10	1169643,40	1208993,80	1246606,40	1286079,50	1317988,80	1383791,00	1469993,90	1548466,30	1604156,50	1654161,30	1734488,90	1792304,90	1822225,80	
Luxembourg	588,50	588,30	588,40	531,60	334,70	310,00	213,30	74,00	0,00	2000,00	2000,00	4000,00	4000,00	5000,00	6050,00	6250,00	6250,00	
Netherlands	181989,00	177335,00	180454,00	188709,00	203100,00	214941,00	220048,00	211373,00	208776,00	283796,00	269876,00	294494,00	309572,00	331669,00	347169,00	356865,00	347511,00	
Austria	104055,40	108995,40	117213,70	122855,70	126838,10	130122,40	138523,80	145093,60	150555,00	169432,20	186129,40	199303,40	206831,70	213496,60	216577,80	226508,30	237595,70	
Portugal	47202,80	49022,00	54327,60	59119,10	62274,80	67573,00	80004,20	86079,70	89133,90	99292,70	115205,00	135040,90	123931,90	116979,80	114345,50	111590,40	121887,60	
Finland	49854,60	51239,30	51861,90	51499,00	53231,00	56285,00	54105,00	54883,00	51767,00	50474,00	61309,00	72830,00	76465,00	82960,00	88640,00	95446,00	102041,00	
Belgium	29575,50	25837,90	26594,20	24547,60	20741,40	24955,60	24959,50	27096,60	28933,30	49842,70	41923,00	43147,00	39642,10	34110,20	27308,30	30045,60	28472,70	
Germany (until 1990 former territory of the FRG)	12083,80	11219,40	22818,80	30636,20	35800,50	35662,90	36969,10	37900,10	39409,50	44733,90	106510,00	86708,00	116289,10	106944,80	85836,30	72603,00	66658,00	
Ireland	2702,50	2012,80	6988,00	7252,90	4525,20	2003,10	1556,90	1554,30	5598,50	25525,30	20443,40	7203,30	3776,70	2534,80	2389,20	3759,60	1181,90	
Greece	4739,50	1787,60	747,00	966,00	542,00	1464,00	1156,00	943,00	1625,00	5496,00	10820,00	9121,00	11844,00	16516,00	11993,00	12826,00	12119,00	
Spain	22268,00	13617,00	13478,00	16007,00	17006,00	15578,00	11354,00	11686,00	26307,00	53033,00	86395,00	68929,00	74185,00	60576,00	78977,00	77611,00	80798,00	
France	32306,00	39410,00	45024,00	86429,00	107948,00	110687,00	108144,00	68217,00	79567,00	154392,00	233854,00	212263,00	227119,00	192705,00	199761,00	196648,00	177230,00	
Italy	119759,10	101923,20	113700,30	113325,20	119382,00	118383,60	117459,70	122307,00	127868,80	147371,00	139910,70	129862,40	131181,10	151554,60	140580,90	124540,00	115032,30	
Luxembourg	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
Netherlands	5157,00	5564,00	5911,00	16155,00	20360,00	17779,00	18050,00	13950,00	16810,00	84164,00	57654,00	53318,00	43445,00	32976,00	26086,00	23095,00	14051,00	
Austria	5017,80	6653,20	4215,00	2519,00	1488,00	1851,30	1066,70	1728,00	2205,60	10011,70	9786,40	9125,80	6045,00	8273,10	8789,70	10162,30	9038,60	
Portugal	1063,40	590,10	2311,10	431,10	4096,00	10469,40	13384,90	10303,20	10504,50	17366,40	20643,50	21715,20	12036,80	13025,40	7411,70	12681,50	10537,90	
Finland	1467,80	5109,70	6991,30	7314,00	5913,00	7843,00	4117,00	6630,00	6778,00	7279,00	12119,00	12011,00	8447,00	6317,00	5322,00	6168,00	7180,00	
Belgium	212406,30	218544,20	222719,80	225708,50	223323,00	221828,20	224951,80	223862,00	224483,30	229304,40	253485,10	264435,70	285457,10	301644,40	313735,00	314497,10	324637,80	
Germany (until 1990 former territory of the FRG)	720504,10	750161,80	760886,90	819263,10	885936,70	955267,80	1023838,40	1076089,30	1105370,90	1141102,40	1196550,50	1309485,20	1345965,70	1441404,90	1470697,00	1501494,60	1499514,80	
Ireland	28477,70	25683,10	22759,70	24291,30	29469,10	32233,30	32528,30	32049,10	31787,80	42443,20	71074,90	89177,60	90236,10	84762,00	110275,70	115318,40	124383,10	
Greece	98796,20	107281,10	114390,00	124316,00	136324,00	154242,00	171295,00	183213,00	199483,00	219953,00	251953,00	253434,00	239832,00	76927,00	67212,00	57233,00	49512,00	
Spain	280394,00	300990,00	305054,00	307771,00	304436,00	304882,00	312430,00	310110,00	287312,00	303348,00	386283,00	465297,00	536514,00	609311,00	686769,00	747540,00	792772,00	
France	596680,00	621536,00	656017,00	679970,00	742790,00	811075,00	875378,00	910655,00	940251,00	965524,00	1042779,00	1147390,00	1256014,00	1365707,00	1430260,00	1508392,00	1583508,00	
Italy	971744,90	1009146,80	1030447,80	1034089,90	1050261,50	1090610,20	1129146,70	1163772,60	1190120,00	1236420,00	1330083,20	1418603,90	1472975,40	1502606,70	1593907,90	1667764,90	1707193,50	
Luxembourg	588,50	588,30	588,40	531,60	334,70	310,00	213,30	74,00	0,00	2000,00	2000,00	4000,00	4000,00	5000,00	6050,00	6250,00	6250,00	
Netherlands	176832,00	171771,00	174543,00	172554,00	182740,00	197162,00	201998,00	197423,00	191966,00	199632,00	212222,00	241176,00	266127,00	298693,00	321083,00	333770,00	333460,00	
Austria	99037,60	102342,20	112998,70	120336,70	125350,10	128271,10	137457,10	143365,60	148349,40	159420,60	176343,00	190177,70	200786,70	205223,50	207788,10	216346,00	228557,20	
